rf;WIG;SMB;HML;WML;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,004783333;0,043098348;0,064964458;0,033781408;0,034925902;0,24693807;-0,035091469;0,101441769;0,136168799;0,100609913;0,145836671;0,122432233;0,07661821;0,048141702;0,072957818;0,117699005;0,068036397;0,051722604;0,031365724;0,075252461;0,031252544
0,00485;-0,003755146;0,026981551;0,047745053;0,024220478;-0,038764304;0,014798689;0,05202166;0,085124084;-0,031403907;0,043053262;0,059344944;0,02542112;0,002084395;0,069954393;0,104544933;0,036058229;-0,004967201;0,019378981;0,004292375;-0,101649936
0,004925;0,012537435;-0,002630575;0,029917928;0,082119308;0,056281296;0,075862126;0,089651924;0,079690957;-0,01296116;-0,02871996;0,036794504;0,042443527;0,067710808;0,081988724;0,118847513;0,14382495;0,005668399;0,018530338;-0,000299563;0,006451702
0,005291667;-0,027010492;-0,004899768;0,042999702;0,003828441;-0,061701061;0,0589724;-0,101679734;-0,072083952;-0,074058681;0,029017788;-0,007406788;0,003678485;-0,033121765;-0,0196489;-0,038416134;0,07799389;-0,032424163;-0,043560392;-0,056867135;0,03178822
0,005766667;0,012877568;-0,026900865;-0,023735186;-0,003032922;-0,084071247;-0,071387739;-0,058567297;-0,023791417;-0,050558327;0,007608119;-0,009622371;-0,033011313;0,00058623;0,009024319;-0,096530664;-0,020380481;0,044571715;0,002430285;0,003569685;-0,045833631
0,005716667;-0,016814183;0,020919197;-0,024373151;0,106269757;0,091943735;0,060251112;0,010813651;-0,039678684;-0,070504866;0,058136744;0,047425949;-0,036233446;0,018373931;-0,118260467;0,012805217;0,003908542;0,015664432;-0,024698596;-0,027403909;0,00512181
0,006083333;0,019042835;0,003419827;0,039240804;-0,01685407;-0,06078823;-0,007074707;-0,013229085;0,072437115;0,064167105;0,003054357;0,018164818;0,008202587;-0,02761816;0,080762645;-0,005450548;0,120301552;0,016690546;0,018633994;0,016503765;-0,031789491
0,006216667;0,032583505;0,005496241;-0,031955949;0,041513101;0,025056654;0,010758807;0,078060638;0,035478919;0,154350471;-0,003610667;0,033678816;0,001228155;0,035208386;0,126218637;-0,013077717;-0,031872032;0,005884164;0,036388916;0,036346883;-0,008181392
0,006116667;0,000372258;-0,009794679;0,002056894;0,014122409;-0,084251941;-0,038124577;-0,09269254;-0,012922193;-0,020002794;-0,038894747;0,001222389;-0,03582203;-0,032392391;-0,001477412;-0,059003998;-0,054990891;-0,033670406;-0,032271797;0,006093398;0,015364785
0,005783333;-0,019732155;-0,045967846;-0,063813034;-0,003017559;0,170533572;-0,057228047;-0,052538808;-0,062109157;-0,104608661;-0,076619403;-0,151380844;-0,117280923;-0,039314789;-0,007065474;-0,028365244;-0,072413224;-0,008351743;-0,047014821;-0,01228257;0,00322961
0,005583333;0,033264618;0,003910107;0,024008211;-0,048288701;0,060134247;-0,020238935;0,011547428;0,021157823;-0,019473847;0,01298717;-0,008328845;0,055092278;0,000651956;-0,006174001;-0,007993146;0,0568272;-0,014503653;0,060180804;0,030432126;0,016135529
0,005308333;-0,032502252;0,04527384;0,036726196;0,001194783;-0,04766724;0,0574884;-0,021600151;0,061365757;0,038370573;0,021654281;0,013055084;0,053137035;0,025850203;-0,038292923;-0,026685555;-0,020153602;-0,022543493;0,007202832;-0,028789803;-0,03955276
0,0052;0,068002715;-0,005485871;-0,005710651;0,008232648;0,054879908;-0,02318201;-0,009776533;0,035113961;0,010964267;0,023643777;-0,018426429;0,008826367;0,010268109;-0,037834883;-0,015454223;0,012899955;0,040789802;0,021986144;0,074788606;0,039605665
0,0046;-0,039171757;-0,038285738;-0,038724088;0,014731805;-0,086043863;-0,164724012;-0,077760327;-0,078125599;0,006634441;-0,071184493;-0,045144175;-0,098695096;0,014509748;-0,088052644;-0,030060842;-0,05357524;-0,04643833;-0,017155244;-0,007440126;-0,002932516
0,004591667;-0,056810111;-0,015551729;0,011023005;0,021327362;-0,08122556;-0,050675254;-0,122534126;-0,063227;-0,078033706;-0,046906461;-0,070183662;-0,015838573;-0,020231658;-0,068714682;-0,049612855;0,006312448;-0,066396879;-0,057777222;-0,080363753;-0,024788301
0,004358333;0,028222819;0,004440487;0,026636267;-0,004729605;-0,03913498;0,012556533;0,003079045;0,021885973;0,036728944;-0,018345639;0,009781378;0,090503235;-0,012332981;0,016966757;0,030241761;0,013468234;0,021884275;0,018597386;0,015229691;-0,030428629
0,00425;0,062630638;-0,005656584;0,015816549;0,008702827;-0,036109196;-0,018034881;0,036042306;0,065537039;0,074316536;0,0273261;0,024673182;0,018318921;-0,002334175;0,011938416;0,023275262;0,035732135;0,045686315;0,06079057;0,092964825;0,062135488
0,003825;0,058097272;-0,005878532;-0,004141345;-0,008332971;-0,056412007;0,177997486;0,089724902;0,0068696;0,033336462;0,015448377;0,018414299;-0,023977181;0,051628848;0,000119324;0,004935205;0,042037034;0,05061203;0,018199947;0,03497947;0,048071419
0,003483333;0,019052972;-0,041737228;-0,03541667;0,071527552;-0,026056635;-0,042136717;-0,001240912;-0,066722186;-0,021656836;0,002728747;-0,008358642;-0,060087257;0,01467679;-0,057665937;-0,015598297;0,006892722;0,003756789;0,036540411;0,065628036;0,047130829
0,003683333;0,05470714;0,018311115;0,010125317;0,026138762;-0,014259998;-0,036381189;0,086812672;0,044317374;0,018210192;0,037927614;0,05474472;0,048967693;0,054694941;-0,026492661;0,036581116;-0,036777948;0,025311317;0,018260748;0,074802958;0,051730356
0,003433333;-0,071533175;0,019489794;-0,009673612;-0,002296261;0,075537568;0,165345694;-0,082137965;-0,00572336;0,009544764;-0,055923522;-0,04917911;0,009844081;-0,020117786;-0,03382063;-0,026785421;-0,037020936;-0,016215825;-0,005000519;-0,038246336;0,011037479
0,003541667;0,030160221;0,02860707;0,004076717;0,074898449;0,065008446;0,080930002;0,076329072;0,015961518;0,067336729;0,036739538;0,007129018;-0,051958897;0,015006855;-0,014485582;-0,003015562;0,017906859;-0,063095643;0,017780712;0,028235538;0,078159441
0,003641667;0,039097747;0,01969164;-0,012875943;0,005737882;0,078478736;0,126346656;0,055716115;0,07191891;0,111369582;0,1226422;0,033982952;0,071223824;0,07841348;0,064445223;0,046645714;0,063749592;0,045132956;0,087297831;0,055897104;0,001821268
0,0036;0,04534976;0,085136339;0,003482187;-0,029587919;0,159430252;0,276324678;0,281639962;0,173793227;0,19028259;0,122824903;0,104702211;0,194002137;0,246109995;0,087239308;0,075302651;0,126107392;0,038380792;0,064731113;0,063469624;0,028710727
0,003516667;0,017717439;0,02795905;0,015733447;0,019036705;-0,01884958;0,13065712;0,047145478;0,046381306;0,016723924;0,075348798;0,096043513;0,07962575;0,00848353;0,076603687;0,058829856;0,003319326;0,021418377;0,036040841;0,01464534;0,057784187
0,003233333;0,022589564;0,044217812;0,05878879;-0,023239916;0,153426137;-0,00088023;0,116821171;0,14790103;-0,15499046;0,084164007;0,068742171;0,104319761;0,069559937;-0,00204385;0,066107751;0,059870163;0,009908465;0,068453454;0,021319179;0,031854505
0,003275;0,07054477;0,055810573;0,069536393;0,006791038;0,015606832;0,079298717;0,073583162;0,058708647;0,052578357;0,109505978;0,063968198;0,105798039;-0,035454377;0,044870779;-0,00582292;0,06385667;-0,022715806;0,034583734;0,025443875;0,094384611
0,003308333;-0,109053159;-0,030463693;0,003417024;-0,018049804;-0,107384676;-0,02629981;-0,266485175;-0,077326199;-0,161709904;-0,122406549;-0,140514859;-0,057518455;-0,054437227;-0,04504976;0,008075084;-0,11713195;-0,088690005;-0,113084696;-0,144255859;-0,112913848
0,003383333;0,013328219;-0,023971467;0,027786482;-0,034159647;-0,054501575;-0,066620645;-0,060755798;-0,073189843;-0,114254903;-0,026984153;-0,000774767;0,000938708;-0,031159423;-0,011463583;-0,01768645;-0,014687376;-0,041253043;0,00758774;0,00639823;-0,040435539
0,0035;0,115147421;-0,00686634;-0,007525557;0,033200687;-0,007989387;0,066278252;0,090703028;0,059176892;0,060009251;0,117848645;0,138257559;0,109564529;0,08481022;0,090496513;0,055200467;0,091878415;0,120863954;0,115170136;0,096893966;0,06189661
0,003591667;-0,043329504;0,042413599;0,026879058;0,013889271;0,032996368;0,092709948;0,013094354;0,129193881;0,051225032;0,017011241;0,010128822;-0,001444848;0,010355584;0,020020189;-0,022722818;0,095585511;0,007615039;-0,032897834;-0,028324928;-0,035134093
0,003675;0,009222285;0,001215747;0,003836352;-0,0650511;0,023338116;0,031092993;0,020634081;0,100976909;0,016874413;0,042188701;0,115821423;0,013775219;0,081280352;0,027280653;0,119662681;0,092453113;0,069699462;0,005270647;0,021806744;0,000801706
0,0037;0,065107644;0,021363065;-0,005319352;0,018447459;0,06428543;0,069630816;0,220361679;0,107468761;0,04184138;0,087630931;0,074220752;0,075262389;0,070778265;0,059266209;0,040697883;0,085446448;0,119279673;0,074746034;0,065244706;0,03070065
0,003616667;0,055191866;0,021886257;-0,006198402;0,07579195;0,149208181;0,073933584;0,153312913;0,151550412;0,026834537;0,042621752;0,094164312;0,051768167;0,154813856;0,107312462;0,100412451;-0,013133538;0,039413675;0,06573917;0,089407286;0,033236206
0,00355;-0,007310292;-0,007927582;0,025870902;-0,020663648;-0,072526718;-0,106942081;-0,060446895;0,026431898;-0,014368993;-0,046396564;-0,071071754;-0,060510925;-0,047576117;-0,132148604;-0,020962423;-0,054098681;-0,081936883;0,022400824;-0,030644199;0,00869319
