Poland, Life tables (period 5x1), Females     Last modified: 08-Jul-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1958           0      0.06562  0.06249  0.24  100000    6249   95231  6863376  68.63
  1958         1-4      0.00213  0.00848  1.28   93751     795  372845  6768146  72.19
  1958         5-9      0.00053  0.00265  2.19   92957     247  464089  6395301  68.80
  1958        10-14     0.00043  0.00216  2.59   92710     201  463065  5931212  63.98
  1958        15-19     0.00068  0.00340  2.70   92509     315  461824  5468147  59.11
  1958        20-24     0.00099  0.00495  2.62   92195     456  459886  5006323  54.30
  1958        25-29     0.00125  0.00624  2.57   91739     572  457302  4546436  49.56
  1958        30-34     0.00154  0.00766  2.59   91167     698  454150  4089135  44.85
  1958        35-39     0.00198  0.00985  2.56   90468     891  450164  3634985  40.18
  1958        40-44     0.00278  0.01378  2.63   89577    1235  444963  3184821  35.55
  1958        45-49     0.00391  0.01939  2.70   88342    1713  437778  2739858  31.01
  1958        50-54     0.00583  0.02875  2.69   86629    2490  427405  2302080  26.57
  1958        55-59     0.00936  0.04582  2.69   84139    3855  411785  1874675  22.28
  1958        60-64     0.01572  0.07584  2.68   80284    6089  387268  1462890  18.22
  1958        65-69     0.02657  0.12511  2.67   74196    9283  349353  1075622  14.50
  1958        70-74     0.04540  0.20489  2.62   64913   13300  292925   726268  11.19
  1958        75-79     0.07674  0.32364  2.58   51613   16704  217679   433343   8.40
  1958        80-84     0.12805  0.48164  2.43   34909   16814  131303   215664   6.18
  1958        85-89     0.18518  0.61479  2.27   18096   11125   60078    84362   4.66
  1958        90-94     0.26634  0.75289  2.11    6971    5248   19704    24284   3.48
  1958        95-99     0.36265  0.85257  1.89    1723    1469    4050     4579   2.66
  1958       100-104    0.47163  0.91914  1.68     254     233     495      530   2.09
  1958       105-109    0.58381  0.95663  1.49      21      20      34       35   1.70
  1958       110+       0.67279  1.00000  1.49       1       1       1        1   1.49
  1959           0      0.06603  0.06287  0.24  100000    6287   95209  6833637  68.34
  1959         1-4      0.00222  0.00883  1.30   93713     828  372619  6738428  71.90
  1959         5-9      0.00059  0.00293  2.27   92886     272  463685  6365810  68.53
  1959        10-14     0.00044  0.00217  2.52   92613     201  462567  5902124  63.73
  1959        15-19     0.00065  0.00323  2.75   92412     298  461390  5439557  58.86
  1959        20-24     0.00094  0.00468  2.60   92114     431  459535  4978167  54.04
  1959        25-29     0.00122  0.00606  2.62   91683     555  457093  4518632  49.29
  1959        30-34     0.00153  0.00764  2.66   91128     696  454009  4061539  44.57
  1959        35-39     0.00201  0.01002  2.69   90431     906  450067  3607530  39.89
  1959        40-44     0.00271  0.01347  2.64   89525    1206  444777  3157463  35.27
  1959        45-49     0.00401  0.01987  2.67   88320    1755  437508  2712687  30.71
  1959        50-54     0.00591  0.02916  2.60   86565    2524  426764  2275179  26.28
  1959        55-59     0.00903  0.04424  2.69   84041    3718  411612  1848414  21.99
  1959        60-64     0.01598  0.07702  2.65   80323    6186  387048  1436802  17.89
  1959        65-69     0.02715  0.12771  2.68   74136    9468  348715  1049754  14.16
  1959        70-74     0.04726  0.21233  2.61   64668   13731  290566   701040  10.84
  1959        75-79     0.08057  0.33557  2.51   50937   17093  212150   410474   8.06
  1959        80-84     0.13428  0.49768  2.40   33844   16844  125435   198324   5.86
  1959        85-89     0.20484  0.65842  2.29   17001   11194   54646    72889   4.29
  1959        90-94     0.29911  0.79310  2.04    5807    4606   15398    18243   3.14
  1959        95-99     0.41100  0.88822  1.80    1201    1067    2596     2845   2.37
  1959       100-104    0.53473  0.94382  1.57     134     127     237      249   1.85
  1959       105-109    0.65521  0.97131  1.38       8       7      11       11   1.52
  1959       110+       0.74619  1.00000  1.34       0       0       0        0   1.34
  1960           0      0.05036  0.04839  0.19  100000    4839   96100  7063430  70.63
  1960         1-4      0.00163  0.00647  1.30   95161     616  378983  6967331  73.22
  1960         5-9      0.00044  0.00218  2.29   94545     206  472165  6588348  69.68
  1960        10-14     0.00036  0.00178  2.69   94338     168  471304  6116183  64.83
  1960        15-19     0.00055  0.00275  2.70   94170     259  470256  5644879  59.94
  1960        20-24     0.00083  0.00412  2.63   93911     387  468639  5174623  55.10
  1960        25-29     0.00110  0.00547  2.62   93524     512  466401  4705983  50.32
  1960        30-34     0.00135  0.00672  2.60   93012     625  463558  4239582  45.58
  1960        35-39     0.00182  0.00905  2.62   92387     836  459948  3776024  40.87
  1960        40-44     0.00251  0.01250  2.60   91551    1144  455011  3316076  36.22
  1960        45-49     0.00384  0.01903  2.66   90407    1720  448008  2861065  31.65
  1960        50-54     0.00549  0.02712  2.64   88687    2405  437762  2413057  27.21
  1960        55-59     0.00845  0.04144  2.67   86281    3575  423076  1975295  22.89
  1960        60-64     0.01436  0.06946  2.66   82706    5744  400081  1552219  18.77
  1960        65-69     0.02461  0.11639  2.67   76962    8957  363902  1152138  14.97
  1960        70-74     0.04238  0.19278  2.66   68004   13110  309350   788235  11.59
  1960        75-79     0.07104  0.30274  2.56   54894   16619  233941   478885   8.72
  1960        80-84     0.12038  0.45961  2.43   38275   17592  146135   244944   6.40
  1960        85-89     0.17973  0.60621  2.32   20684   12539   69763    98809   4.78
  1960        90-94     0.25788  0.73889  2.11    8145    6018   23338    29047   3.57
  1960        95-99     0.35844  0.84958  1.90    2127    1807    5041     5709   2.68
  1960       100-104    0.47092  0.91915  1.68     320     294     624      668   2.09
  1960       105-109    0.58691  0.95758  1.48      26      25      42       44   1.69
  1960       110+       0.67872  1.00000  1.47       1       1       2        2   1.47
  1961           0      0.04861  0.04677  0.19  100000    4677   96207  7081311  70.81
  1961         1-4      0.00163  0.00649  1.32   95323     619  379636  6985104  73.28
  1961         5-9      0.00043  0.00213  2.27   94704     202  472970  6605468  69.75
  1961        10-14     0.00037  0.00184  2.52   94503     174  472081  6132498  64.89
  1961        15-19     0.00055  0.00276  2.72   94329     261  471050  5660417  60.01
