1	417	250
2	397	327
3	344	387
4	270	415
5	190	406
6	124	360
7	87	290
8	87	210
9	124	139
10	190	93
11	270	84
12	344	112
13	397	172
14	486	210
15	486	290
16	468	364
17	417	421
18	351	467
19	279	495
20	203	485
21	128	456
22	65	413
23	30	345
24	10	267
25	10	190
26	46	123
27	99	63
28	162	18
29	238	10
30	318	20
31	390	46
32	468	135
33	477	287
34	451	355
35	410	416
36	348	458
37	277	476
38	204	476
39	134	449
40	79	401
41	37	340
42	20	268
43	28	195
44	54	127
45	104	71
46	169	36
47	240	19
48	314	28
49	393	77
50	438	128
51	477	212
52	451	230
53	451	270
54	442	307
55	442	192
56	442	268
57	442	308
58	433	346
59	407	374
60	374	397
61	415	338
62	406	376
63	381	404
64	348	427
65	312	441
66	343	418
67	310	441
68	274	455
69	236	450
70	199	436
71	415	161
72	358	96
73	394	109
74	433	153
75	216	51
76	254	47
77	294	52
78	330	65
79	67	165
80	85	131
81	112	101
82	143	79
83	118	108
84	145	78
85	176	56
86	214	52
87	254	56
88	291	61
89	331	66
90	367	79
91	406	123
92	76	351
93	58	317
94	49	278
95	48	240
96	235	450
97	197	445
98	159	431
99	127	410
100	164	423
101	126	408
102	94	387
103	77	353
104	67	314
105	58	277
106	49	238
107	48	200
108	67	166
109	93	136
110	442	191
111	442	231
